Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
54533;-63.05000;18.07722;"63° 02' 60.00'' Ouest, 18° 04' 38.00'' Nord";"97801";"LE PIC DU PARADIS";;"97150";"SAINT-MARTIN";"Pylône autostable"; 25.0;"TDF"
56886;-63.09389;18.06167;"63° 05' 38.00'' Ouest, 18° 03' 42.00'' Nord";"97801";;"STADE ALBÉRIC-RICHARDS ROUTE DE SANDY GROUND";"97150";"SAINT-MARTIN";"Pylône autostable"; 27.0;"DIGICEL"
118390;-63.03861;18.10222;"63° 02' 19.00'' Ouest, 18° 06' 08.00'' Nord";"97801";"PEA TREE HILL";"CUL DE SAC";"97150";"SAINT-MARTIN";"Pylône haubané"; 12.0;"Particulier"
327103;-63.04944;18.07667;"63° 02' 58.00'' Ouest, 18° 04' 36.00'' Nord";"97801";"PIC PARADIS";"27 ROUTE DE LA SALINE QUARTIER D'ORLÉANS";"97150";"SAINT-MARTIN";"Pylône autostable"; 45.0;"Société Privée SA"
327147;-63.08139;18.06722;"63° 04' 53.00'' Ouest, 18° 04' 02.00'' Nord";"97801";"CONCORDIA";"MARIGOT 8 R ANTOINE LAKE";"97150";"SAINT-MARTIN";"Pylône autostable"; 15.0;"Société Privée SA"
327153;-63.07583;18.08083;"63° 04' 33.00'' Ouest, 18° 04' 51.00'' Nord";"97801";"MONT VALOIS";;"97150";"SAINT-MARTIN";"Pylône autostable"; 35.0;"Société Privée SA"
327161;-63.03167;18.07028;"63° 01' 54.00'' Ouest, 18° 04' 13.00'' Nord";"97801";"QUARTIER D'ORLÉANS";"14 R QUENETIER";"97150";"SAINT-MARTIN";"Pylône autostable"; 20.0;"Société Privée SA"
469613;-63.03333;18.06750;"63° 01' 60.00'' Ouest, 18° 04' 03.00'' Nord";"97801";;"QUARTIER D'ORLÉANS ROUTE DE CORALITA";"97150";"SAINT-MARTIN";"Pylône tubulaire"; 22.0;"DIGICEL"
470759;-63.07556;18.08083;"63° 04' 32.00'' Ouest, 18° 04' 51.00'' Nord";"97801";"MORNE VALOIS";"MORNE VALOIS";"97150";"SAINT-MARTIN";"Pylône autostable"; 22.0;"DIGICEL"
471095;-63.03500;18.10806;"63° 02' 06.00'' Ouest, 18° 06' 29.00'' Nord";"97801";"ANSE MARCEL";"PIGEON PEA HILL";"97150";"SAINT-MARTIN";"Pylône autostable"; 12.0;"DIGICEL"
523697;-63.08139;18.07583;"63° 04' 53.00'' Ouest, 18° 04' 33.00'' Nord";"97801";;"ZA GALISABEY MARIGOT";"97150";"SAINT-MARTIN";"Bâtiment"; 7.8;"Société Privée SA"
530724;-63.05056;18.07750;"63° 03' 02.00'' Ouest, 18° 04' 39.00'' Nord";"97801";"PIC PARADIS";"PYLÔNE TDF";"97150";"SAINT-MARTIN";"Pylône autostable"; 45.0;"TDF"
532769;-63.04972;18.07722;"63° 02' 59.00'' Ouest, 18° 04' 38.00'' Nord";"97801";"PIC PARADIS";;"97150";"SAINT-MARTIN";"Pylône autostable"; 36.0;"Société Privée SA"
532783;-63.05028;18.07750;"63° 03' 01.00'' Ouest, 18° 04' 39.00'' Nord";"97801";"PIC PARADIS";;"97150";"SAINT-MARTIN";"Pylône autostable"; 40.0;"Société Privée SA"
566240;-63.08444;18.06667;"63° 05' 04.00'' Ouest, 18° 03' 60.00'' Nord";"97801";;"IMM LE VILLAGE MARIGOT";"97801";"SAINT-MARTIN";"Bâtiment"; 10.0;"Particulier"
587897;-63.08139;18.06500;"63° 04' 53.00'' Ouest, 18° 03' 54.00'' Nord";"97801";"CONCORDIA";;"97801";"SAINT-MARTIN";"Pylône autostable"; 14.0;"DIGICEL"
607090;-63.08056;18.07694;"63° 04' 50.00'' Ouest, 18° 04' 37.00'' Nord";"97801";"BAIE DE LA POTENCE - MARIGOT";"CENTRALE EDF DE ST MARTIN BAIE DE LA POTENCE - MARIGOT";"97801";"SAINT-MARTIN";"Bâtiment"; 17.5;"EDF ou GDF"
672609;-63.11028;18.06083;"63° 06' 37.00'' Ouest, 18° 03' 39.00'' Nord";"97801";"BAIE NETTLÉ";"D208 - GALISBAY MARIGOT";"97801";"SAINT-MARTIN";"Mât"; 20.0;"ORANGE"
673413;-63.03250;18.06861;"63° 01' 57.00'' Ouest, 18° 04' 07.00'' Nord";"97801";"QUARTIER D'ORLÉANS";"R MARTHA ILLIDGE";"97801";"SAINT-MARTIN";"Pylône autostable"; 25.0;"ORANGE"
681947;-63.07583;18.08083;"63° 04' 33.00'' Ouest, 18° 04' 51.00'' Nord";"97801";"MORNE VALOIS";"RN 7";"97801";"SAINT-MARTIN";"Pylône autostable"; 30.0;"ORANGE"
685448;-63.02750;18.10139;"63° 01' 39.00'' Ouest, 18° 06' 05.00'' Nord";"97801";"CUL DE SAC";"HOTEL ALIZEA";"97150";"SAINT-MARTIN";"Mât"; 5.0;"ORANGE"
685962;-63.08556;18.04750;"63° 05' 08.00'' Ouest, 18° 02' 51.00'' Nord";"97801";"BELLEVUE";"ROUTE N7 DIRECTION ST JEAN BELLEVUE";"97150";"SAINT-MARTIN";"Pylône autostable"; 12.0;"ORANGE"
691914;-63.08639;18.05944;"63° 05' 11.00'' Ouest, 18° 03' 34.00'' Nord";"97801";"MARIGOT";"ZAC DE BELLEVUE PRÈS N7";"97801";"SAINT-MARTIN";"Bâtiment"; 12.0;"ORANGE"
691966;-63.08556;18.06667;"63° 05' 08.00'' Ouest, 18° 03' 60.00'' Nord";"97801";"MARIGOT";"17 R DU GÉNÉRAL DE GAULLE CENTRAL TÉLÉPHONIQUE FRANCE TÉLÉCOM";"97801";"SAINT-MARTIN";"Pylône autostable"; 26.0;"ORANGE Services Fixes"
775982;-63.12667;18.06583;"63° 07' 36.00'' Ouest, 18° 03' 57.00'' Nord";"97801";"TERRES BASSES";"ST MARTIN";"97150";"SAINT-MARTIN";"Pylône autostable"; 16.0;"TDF"
829136;-63.05056;18.07750;"63° 03' 02.00'' Ouest, 18° 04' 39.00'' Nord";"97801";"PIC PARADIS";"PYLÔNE TDF";"97150";"SAINT-MARTIN";"Pylône autostable"; 42.0;"TDF"
830481;-63.12250;18.06722;"63° 07' 21.00'' Ouest, 18° 04' 02.00'' Nord";"97801";"MORNE ROUGE";"RTE D208 PYLONE TDF";"97801";"SAINT-MARTIN";"Mât béton"; 16.0;"TDF"
892511;-63.06833;18.09000;"63° 04' 06.00'' Ouest, 18° 05' 24.00'' Nord";"97801";"SAVANNE";;"97150";"SAINT-MARTIN";"Pylône autostable"; 16.0;"DAUPHIN TELECOM"
892539;-63.12667;18.06583;"63° 07' 36.00'' Ouest, 18° 03' 57.00'' Nord";"97801";"MONT ROUGE";;"97150";"SAINT-MARTIN";"Pylône autostable"; 16.0;"DAUPHIN TELECOM"
893083;-63.08417;18.06889;"63° 05' 03.00'' Ouest, 18° 04' 08.00'' Nord";"97801";"MARIGOT";"12 R DE LA RÉPUBLIQUE";"97150";"SAINT-MARTIN";"Bâtiment"; 13.0;"DAUPHIN TELECOM"
893087;-63.10000;18.05722;"63° 06' 00.00'' Ouest, 18° 03' 26.00'' Nord";"97801";"SANDY GROUND";;"97150";"SAINT-MARTIN";"Pylône autostable"; 12.0;"DAUPHIN TELECOM"
893089;-63.03306;18.06722;"63° 01' 59.00'' Ouest, 18° 04' 02.00'' Nord";"97801";"QUARTIER D'ORLÉANS";"R MULLET FISH";"97150";"SAINT-MARTIN";"Pylône autostable"; 12.0;"DAUPHIN TELECOM"
915275;-63.12667;18.06583;"63° 07' 36.00'' Ouest, 18° 03' 57.00'' Nord";"97801";"MORNES ROUGES";"PYLONE UTS CARAIBES";"97801";"SAINT-MARTIN";"Pylône autostable"; 15.0;"Société Privée SA"
920899;-63.06806;18.09028;"63° 04' 05.00'' Ouest, 18° 05' 25.00'' Nord";"97801";"LA SAVANE";"PYLONE UTS CARAIBES";"97801";"SAINT-MARTIN";"Pylône autostable"; 22.0;"Société Privée SA"
933539;-63.05000;18.07722;"63° 02' 60.00'' Ouest, 18° 04' 38.00'' Nord";"97801";"SITE HERTZIEN FRANCE TELECOM";"PIC DU PARADIS";"97801";"SAINT-MARTIN";"Pylône autostable"; 32.0;"ORANGE Services Fixes"
938370;-63.02500;18.08639;"63° 01' 30.00'' Ouest, 18° 05' 11.00'' Nord";"97801";"ORIENT BAY";"LOT. LES RESS DE BAIE ORIENTALE";"97150";"SAINT-MARTIN";"Pylône autostable"; 8.0;"DAUPHIN TELECOM"
938380;-63.13806;18.05444;"63° 08' 17.00'' Ouest, 18° 03' 16.00'' Nord";"97801";"SAMANNA";"TERRES BASSES";"97150";"SAINT-MARTIN";"Pylône autostable"; 10.0;"DAUPHIN TELECOM"
939543;-63.15139;18.06167;"63° 09' 05.00'' Ouest, 18° 03' 42.00'' Nord";"97801";"POINTE DU CANONNIER";"LES TERRES BASSES";"97150";"SAINT-MARTIN";"Pylône autostable"; 12.0;"DAUPHIN TELECOM"
939583;-63.03111;18.08833;"63° 01' 52.00'' Ouest, 18° 05' 18.00'' Nord";"97801";"ORIENT BAY";"LOT LES JARDINS D'ORIENT BAY MONT VERNON";"97150";"SAINT-MARTIN";"Mât"; 6.0;"DAUPHIN TELECOM"
939585;-63.05917;18.06944;"63° 03' 33.00'' Ouest, 18° 04' 10.00'' Nord";"97801";"COLOMBIER";;"97150";"SAINT-MARTIN";"Mât"; 4.0;"DAUPHIN TELECOM"
983220;-63.08417;18.06278;"63° 05' 03.00'' Ouest, 18° 03' 46.00'' Nord";"97801";"BELLEVUE";"ST JAMES MARIGOT";"97801";"SAINT-MARTIN";"Pylône autostable"; 12.0;"DAUPHIN TELECOM"
1040118;-63.03861;18.10222;"63° 02' 19.00'' Ouest, 18° 06' 08.00'' Nord";"97801";"PEA TREE HILL";"CUL DE SAC";"97801";"SAINT-MARTIN";"Mât métallique"; 10.0;"ORANGE"
1274507;-63.12694;18.06583;"63° 07' 37.00'' Ouest, 18° 03' 57.00'' Nord";"97801";"MORNE ROUGE";;"97801";"SAINT-MARTIN";"Pylône autostable"; 20.0;"DIGICEL"
1450023;-63.08556;18.06667;"63° 05' 08.00'' Ouest, 18° 03' 60.00'' Nord";"97801";;"VILLAGE DE MARIGOT";"97150";"SAINT-MARTIN";"Pylône autostable"; 26.0;"ORANGE"
1471466;-63.03861;18.10222;"63° 02' 19.00'' Ouest, 18° 06' 08.00'' Nord";"97801";"PEA TREE HILL";"CUL DE SAC";"97801";"SAINT-MARTIN";"Pylône autostable"; 16.0;"DAUPHIN TELECOM"
1471467;-63.03861;18.10222;"63° 02' 19.00'' Ouest, 18° 06' 08.00'' Nord";"97801";"PEA TREE HILL";"CUL DE SAC";"97801";"SAINT-MARTIN";"Pylône tubulaire"; 15.0;"Particulier"
1471676;-63.08194;18.06500;"63° 04' 55.00'' Ouest, 18° 03' 54.00'' Nord";"97801";"CONCORDIA";"IMP LOUIS VANTERPOOL MONT DE MARIGOT";"97801";"SAINT-MARTIN";"Pylône autostable"; 12.0;"DAUPHIN TELECOM"
1491972;-63.15139;18.06222;"63° 09' 05.00'' Ouest, 18° 03' 44.00'' Nord";"97801";;"RUE BAIE AUX PRUNES LES TERRES BASSES";"97801";"SAINT-MARTIN";"Pylône autostable"; 22.0;"ORANGE"
1602869;-63.08472;18.06889;"63° 05' 05.00'' Ouest, 18° 04' 08.00'' Nord";"97801";"MARIGOT";"24 RUE DE LA RÉPUBLIQUE";"97801";"SAINT-MARTIN";"Local technique"; 7.0;"Société Privée SA"
1679428;-63.07306;18.06417;"63° 04' 23.00'' Ouest, 18° 03' 51.00'' Nord";"97801";;"SPRING CONCORDIA B.P 381";"97054";"SAINT-MARTIN";"Immeuble"; 12.0;"Etablissement de soins"
1752445;-63.04000;18.10917;"63° 02' 24.00'' Ouest, 18° 06' 33.00'' Nord";"97801";"ANSE MARCEL";"RUE DU PRIVILÈGE VERS HOTEL LE MARQUIS PIGEON PEA HILL";"97150";"SAINT-MARTIN";"Pylône tubulaire"; 11.0;"Société Privée SA"
1771022;-63.01417;18.05750;"63° 00' 51.00'' Ouest, 18° 03' 27.00'' Nord";"97801";"OYSTER PONT";"R DE L'ESCALE";"97801";"SAINT-MARTIN";"Mât"; 15.0;"ORANGE"
1849499;-63.06806;18.09028;"63° 04' 05.00'' Ouest, 18° 05' 25.00'' Nord";"97801";"LA SAVANE";"IMPASSE CLÉMENT GUMBS";"97801";"SAINT-MARTIN";"Pylône autostable"; 20.0;"ORANGE"
1961261;-63.08111;18.07111;"63° 04' 52.00'' Ouest, 18° 04' 16.00'' Nord";"97801";;"RUE DE HOLLANDE";"97801";"SAINT-MARTIN";"Immeuble"; 13.0;"Etablissement de soins"
1965654;-63.12667;18.06583;"63° 07' 36.00'' Ouest, 18° 03' 57.00'' Nord";"97801";"TERRES BASSES";"LOT. MORNES ROUGES - PRÈS RÉSERVOIR";"97801";"SAINT-MARTIN";"Pylône autostable"; 12.0;"ORANGE"
1965665;-63.08028;18.07250;"63° 04' 49.00'' Ouest, 18° 04' 21.00'' Nord";"97801";"MARIGOT EST-GALISBAY";"RUE DU HAMEAU DU PONT";"97801";"SAINT-MARTIN";"Pylône autostable"; 20.0;"Commune, communauté de commune"
1965671;-63.07083;18.05667;"63° 04' 15.00'' Ouest, 18° 03' 24.00'' Nord";"97801";"CONCORDIA";"MARIGOT HILLS - LACOLOMBE 99 RUE DE CONCORDIA";"97801";"SAINT-MARTIN";"Pylône autostable"; 20.0;"ORANGE"
2029806;-63.12611;18.06556;"63° 07' 34.00'' Ouest, 18° 03' 56.00'' Nord";"97801";;"513 LOTISSEMENT DE TERRE-BASSES";"97801";"SAINT-MARTIN";"Bâtiment"; 5.0;"Société Privée SA"
2045399;-63.01444;18.05722;"63° 00' 52.00'' Ouest, 18° 03' 26.00'' Nord";"97801";"OYSTERPOND";"R DE L'ESCALE, LOT36";"97801";"SAINT-MARTIN";"Bâtiment"; 7.0;"Société Privée SA"
2052543;-63.02972;18.06639;"63° 01' 47.00'' Ouest, 18° 03' 59.00'' Nord";"97801";"MONT SALINE";"IMPASSE MONT SALINE";"97801";"SAINT-MARTIN";"Bâtiment"; 5.0;"Particulier"
2052907;-63.06833;18.09028;"63° 04' 06.00'' Ouest, 18° 05' 25.00'' Nord";"97801";"LA SAVANE";"MARIGOT";"97801";"SAINT-MARTIN";"Pylône autostable"; 30.0;"TDF"
2193417;-63.04972;18.07750;"63° 02' 59.00'' Ouest, 18° 04' 39.00'' Nord";"97801";"PIC DU PARADIS";"SITE PRIVÉ";"97150";"SAINT-MARTIN";"Pylône autostable"; 30.0;"DAUPHIN TELECOM"
2213342;-63.05000;18.07750;"63° 02' 60.00'' Ouest, 18° 04' 39.00'' Nord";"97801";"PIC PARADIS";;"97801";"SAINT-MARTIN";"Pylône autostable"; 30.0;"DAUPHIN TELECOM"
2222577;-63.07917;18.06944;"63° 04' 45.00'' Ouest, 18° 04' 10.00'' Nord";"97801";;"RUE DE SPRING MARIGOT";"97150";"SAINT-MARTIN";"Bâtiment"; 3.0;"Association"
2223501;-63.07806;18.08278;"63° 04' 41.00'' Ouest, 18° 04' 58.00'' Nord";"97801";"FRIARS BAY";"22 IMPASSE GARDEN RANG";"97801";"SAINT-MARTIN";"Pylône autostable"; 3.0;"DAUPHIN TELECOM"
2224031;-63.10639;18.05944;"63° 06' 23.00'' Ouest, 18° 03' 34.00'' Nord";"97801";"BAIE NETTLE";"138 A RUE DE SANDY GROUND";"97801";"SAINT-MARTIN";"Pylône autostable"; 11.0;"DAUPHIN TELECOM"
2224879;-63.05139;18.10611;"63° 03' 05.00'' Ouest, 18° 06' 22.00'' Nord";"97801";"GRAND CASE";"7 LOT LES PANORAMIQUES DE GRAND CASE";"97801";"SAINT-MARTIN";"Pylône autostable"; 9.0;"DAUPHIN TELECOM"
2251419;-63.03222;18.09139;"63° 01' 56.00'' Ouest, 18° 05' 29.00'' Nord";"97801";"GRISELLE";"CUL DE SAC";"97801";"SAINT-MARTIN";"Pylône autostable"; 25.0;"Société Privée SA"
2277186;-63.07444;18.07500;"63° 04' 28.00'' Ouest, 18° 04' 30.00'' Nord";"97801";"AGREMENT";"45 RUE CHARNING CHARP";"97801";"SAINT-MARTIN";"Pylône autostable"; 6.0;"DAUPHIN TELECOM"
2290442;-63.03917;18.11667;"63° 02' 21.00'' Ouest, 18° 07' 00.00'' Nord";"97801";"ANSE MARCEL";;"97801";"SAINT-MARTIN";"Pylône autostable"; 5.0;"DAUPHIN TELECOM"
2313132;-63.08167;18.06556;"63° 04' 54.00'' Ouest, 18° 03' 56.00'' Nord";"97801";"CONCORDIA";"11 IMPASSE LOUIS VANTERPOOL";"97801";"SAINT-MARTIN";"Pylône autostable"; 8.0;"DAUPHIN TELECOM"
2314196;-63.07167;18.06861;"63° 04' 18.00'' Ouest, 18° 04' 07.00'' Nord";"97801";;"22 RUE MANGUE POMME";"97801";"SAINT-MARTIN";"Mât métallique"; 2.0;"DAUPHIN TELECOM"
2356425;-63.08444;18.06722;"63° 05' 04.00'' Ouest, 18° 04' 02.00'' Nord";"97801";;"MARIGOT RUE DE LA MAIRIE";"97150";"SAINT-MARTIN";"Bâtiment"; 10.0;"Particulier"
2410379;-63.02917;18.08917;"63° 01' 45.00'' Ouest, 18° 05' 21.00'' Nord";"97801";;"HOPE HILL 18 PARC DE LA BAIE ORIANTALE";"97801";"SAINT-MARTIN";"Pylône autostable"; 21.5;"DAUPHIN TELECOM"
